id	name	source	equipment_sources	element	rarity	current_time	disposition	dependencies	current_description	proposed_role	proposal
quick_stab	Quick Stab	starter	training_sword	neutral	common	2	retain role; compatibility and balance review		Strike an adjacent enemy for 11.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze.
guarded_step	Guarded Step	starter	splintered_shield	neutral	common	3	retain role; compatibility and balance review		Move 2, gain 3 block, and gain 1 card play.	positioning / defense / hand/tempo support	Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences. Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone.
shadow_step	Shadow Step	starter	patched_cloak	neutral	common	4	retain role; compatibility and balance review		Blink 4, then draw 1.	terrain bypass / hand/tempo support	Blink skips intermediate terrain and triggers only landing-tile effects, with any explicit origin effects retained. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone.
bone_dart	Bone Dart	inactive legacy		neutral	common	2	retain role; compatibility and balance review		Deal 6 at range 4.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. This is the only inactive legacy card: keep excluded from normal rewards, preserve save compatibility or migrate old instances explicitly.
pale_spark	Pale Spark	starter		neutral	common	3	retain role; compatibility and balance review		Deal 4 at range 5.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze.
dull_bolt	Dull Bolt	starter		neutral	common	4	retain role; compatibility and balance review		Deal 5 at range 5.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze.
waning_pulse	Waning Pulse	starter		neutral	common	4	retain role; compatibility and balance review		Pulse for 5 on adjacent tiles.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze.
sidestep_slash	Sidestep Slash	starter	skirmisher_boots	neutral	common	3	retain role; compatibility and balance review		Move 3, then strike for 6.	direct damage / positioning	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences.
whirlwind_slash	Whirlwind Slash	starter	training_sword	neutral	common	5	retain role; compatibility and balance review		Strike all adjacent tiles for 10.	direct damage	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze.
patch_up	Patch Up	starter	patched_cloak	neutral	common	2	retain role; compatibility and balance review		Exhaust. Heal 2 and gain 2 block.	defense	Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation.
bloody_lunge	Bloody Lunge	starter	training_sword	neutral	common	8	retain role; compatibility and balance review		Lose 1 health. Move 3, then strike for 15.	direct damage / positioning	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Printed Move and free movement spend the same terrain-weighted path cost, including Rubble and visible hazard consequences.
brace	Brace	starter	splintered_shield	neutral	common	1	retain role; compatibility and balance review		Gain 8 block.	defense	Keep defense/healing semantics; include shared Fire damage and prevention in the revised valuation.
ember_jab	Ember Jab	starter		neutral	common	3	retain role; compatibility and balance review		Strike for 6, then draw 1.	direct damage / hand/tempo support	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone. Naming/art review: elemental-sounding name currently has a neutral element tag. Either make neutral flavor clear or explicitly retag with a budgeted elemental role; do not add hidden terrain effects based on the name.
lantern_shot	Lantern Shot	starter	cracked_lantern	neutral	common	3	retain role; compatibility and balance review		Deal 5 at range 6, then create radius-2 Light at the impact for 2 turns. Draw 1.	direct damage / hand/tempo support / Radiance	Retain printed direct attacks; surfaces are applied only when explicitly printed, and physical direct hits benefit from active Chilled damage but do not apply Freeze. Review card-flow and Flurry combinations against new hazard kills and surface payoffs; no automatic numerical buff just because intensity is gone. Retain authored Light/Vision duration and visibility rules independently from permanent elemental surfaces.
